2025-05-21 16:50:39 - Count: 3, Avg Density: 53.00, Min Density: 26, Max Density: 86
2025-05-21 17:22:51 - Count: 3, Avg Density: 55.67, Min Density: 31, Max Density: 71
2025-05-21 17:22:53 - Count: 3, Avg Density: 88.33, Min Density: 81, Max Density: 99
2025-05-21 17:22:53 - Count: 2, Avg Density: 51.00, Min Density: 14, Max Density: 88
2025-05-21 17:22:54 - Count: 5, Avg Density: 41.00, Min Density: 22, Max Density: 61
2025-05-21 17:22:56 - Count: 2, Avg Density: 61.00, Min Density: 47, Max Density: 75
2025-05-21 17:22:56 - Count: 3, Avg Density: 44.00, Min Density: 21, Max Density: 65
2025-05-21 17:22:57 - Count: 2, Avg Density: 84.00, Min Density: 84, Max Density: 84
2025-05-21 17:22:57 - Count: 3, Avg Density: 67.67, Min Density: 49, Max Density: 96
2025-05-21 17:22:59 - Count: 2, Avg Density: 50.50, Min Density: 50, Max Density: 51
2025-05-21 17:22:59 - Count: 3, Avg Density: 45.33, Min Density: 19, Max Density: 69
2025-05-21 17:23:00 - Count: 2, Avg Density: 44.00, Min Density: 32, Max Density: 56
2025-05-21 17:23:00 - Count: 2, Avg Density: 75.00, Min Density: 51, Max Density: 99
2025-05-21 17:23:00 - Count: 1, Avg Density: 50.00, Min Density: 50, Max Density: 50
2025-05-21 17:39:41 - Count: 4, Avg Density: 65.50, Min Density: 37, Max Density: 87
2025-05-21 17:39:41 - Count: 1, Avg Density: 56.00, Min Density: 56, Max Density: 56
2025-05-21 17:39:42 - Count: 2, Avg Density: 40.00, Min Density: 16, Max Density: 64
2025-05-21 17:39:42 - Count: 3, Avg Density: 31.67, Min Density: 14, Max Density: 41
2025-05-21 17:39:44 - Count: 3, Avg Density: 46.67, Min Density: 36, Max Density: 63
2025-05-21 17:39:44 - Count: 2, Avg Density: 41.50, Min Density: 25, Max Density: 58
2025-05-21 17:39:45 - Count: 2, Avg Density: 20.50, Min Density: 10, Max Density: 31
2025-05-21 17:39:45 - Count: 3, Avg Density: 48.67, Min Density: 29, Max Density: 77
2025-05-21 17:39:47 - Count: 5, Avg Density: 57.60, Min Density: 31, Max Density: 87
2025-05-21 17:39:48 - Count: 5, Avg Density: 30.60, Min Density: 11, Max Density: 68
2025-05-21 17:39:50 - Count: 3, Avg Density: 71.67, Min Density: 50, Max Density: 98
2025-05-21 17:39:50 - Count: 2, Avg Density: 72.00, Min Density: 61, Max Density: 83
2025-05-21 17:39:52 - Count: 3, Avg Density: 61.67, Min Density: 28, Max Density: 86
2025-05-21 17:39:52 - Count: 2, Avg Density: 67.50, Min Density: 37, Max Density: 98
2025-05-21 17:39:53 - Count: 3, Avg Density: 74.33, Min Density: 53, Max Density: 96
2025-05-21 17:39:53 - Count: 2, Avg Density: 72.00, Min Density: 66, Max Density: 78
2025-05-21 17:39:55 - Count: 3, Avg Density: 37.67, Min Density: 24, Max Density: 45
2025-05-21 17:39:55 - Count: 2, Avg Density: 52.50, Min Density: 16, Max Density: 89
2025-05-21 17:39:56 - Count: 2, Avg Density: 34.50, Min Density: 10, Max Density: 59
2025-05-21 17:39:56 - Count: 3, Avg Density: 58.00, Min Density: 33, Max Density: 100
2025-05-21 17:39:58 - Count: 2, Avg Density: 61.50, Min Density: 50, Max Density: 73
2025-05-21 17:39:58 - Count: 3, Avg Density: 57.00, Min Density: 31, Max Density: 95
2025-05-21 17:39:59 - Count: 5, Avg Density: 62.60, Min Density: 31, Max Density: 86
2025-05-21 17:40:01 - Count: 1, Avg Density: 18.00, Min Density: 18, Max Density: 18
2025-05-21 17:40:01 - Count: 4, Avg Density: 56.00, Min Density: 36, Max Density: 84
2025-05-21 17:40:03 - Count: 5, Avg Density: 56.20, Min Density: 24, Max Density: 95
2025-05-21 17:40:04 - Count: 1, Avg Density: 45.00, Min Density: 45, Max Density: 45
2025-05-21 17:40:04 - Count: 4, Avg Density: 45.25, Min Density: 12, Max Density: 79
2025-05-21 17:40:06 - Count: 3, Avg Density: 54.00, Min Density: 39, Max Density: 80
2025-05-21 17:40:06 - Count: 2, Avg Density: 68.00, Min Density: 44, Max Density: 92
2025-05-21 17:40:07 - Count: 2, Avg Density: 27.50, Min Density: 18, Max Density: 37
2025-05-21 17:40:07 - Count: 2, Avg Density: 57.50, Min Density: 25, Max Density: 90
2025-05-21 17:40:07 - Count: 1, Avg Density: 43.00, Min Density: 43, Max Density: 43
2025-05-21 17:40:09 - Count: 5, Avg Density: 72.40, Min Density: 43, Max Density: 99
